lingq_id,term,fragment,hint,status,extended_status,tags,importance,last_studied_correct,first_seen,last_synced
657262640,klügste,"Der Klügste.",,0,0,noun,0,,2026-05-18,2026-05-18
657262680,kartoffelsuppe,"Die Kartoffelsuppe steht auf dem Tisch.",,1,0,noun,0,,2026-05-18,2026-05-18
657266138,einmaleins,"...Schreiben und das kleine Einmaleins.",,0,0,noun,0,,2026-05-18,2026-05-18
657266221,dorf,"Hier bei uns im Dorf.“ Er spricht nicht zu...",,0,0,noun,2,,2026-05-18,2026-05-18
657266509,böse,"Mein Sohn?“ Vater wird böse.",,0,0,noun;adjective,2,,2026-05-18,2026-05-18
657266530,wird,"Mein Sohn?“ Vater wird böse.",,0,0,werden;verb;präsens;adjective;adverb;er/sie/es;bekanntwerden;irrewerden,3,,2026-05-18,2026-05-18
657266549,sohn,,,0,0,noun,3,,2026-05-18,2026-05-18
657266586,zigeunern,,,0,0,noun,0,,2026-05-18,2026-05-18
657266633,erklärt,"...wollte zu ihnen gehen"", erklärt ihr der Kleine.",,0,0,verb;preposition;präsens;noun;er/sie/es;erklären,3,,2026-05-18,2026-05-18
657274117,chiromantik,"…Ich habe mir die Chiromantik erklären lassen!“„ Die was?""",,0,0,noun,0,,2026-05-18,2026-05-18
657274300,versteht,"der Vater versteht ihn nicht.",,0,0,verb;präsens;noun;er/sie/es;verstehen,2,,2026-05-18,2026-05-18
657274315,ihn,"der Vater versteht ihn nicht.",,1,0,pronoun;noun,3,,2026-05-18,2026-05-18
657274412,zigeuner,"…Die Zigeuner können aus der Hand…",,0,0,noun,0,,2026-05-18,2026-05-18
657274438,können,"…Die Zigeuner können aus der Hand lesen.",,0,0,verb;präsens;noun;wir;fortkönnen,3,,2026-05-18,2026-05-18
657274684,kunst,"Das ist eine Kunst des Teufels!“ sagt der…",,0,0,noun,2,,2026-05-18,2026-05-18
657274723,teufels,"…ist eine Kunst des Teufels!“ sagt der Vater böse.",,0,0,noun;adjective,0,,2026-05-18,2026-05-18
657274865,denkt,"Die Mutter denkt wie ihr Mann:„ Ach…",,0,0,verb;präsens;noun;ausdenken;denken;adjective;hineindenken;er/sie/es;hinzudenken;wegdenken;weiterdenken;umdenken;fortdenken;vordenken;vorausdenken;durchdenken;hindenken;eindenken;hinausdenken;zudenken;zurückdenken;nachdenken;mitdenken,2,,2026-05-18,2026-05-18
657274878,mann,"…Mutter denkt wie ihr Mann:„ Ach junge!",,0,0,noun,3,,2026-05-18,2026-05-18
657275177,pastor,"Der Pastor hat auch gesagt...“ Johann…",,0,0,noun,0,,2026-05-18,2026-05-18
657275305,ausreden,"…Johann lässt sie nicht ausreden:„ Das ist ein Dummkopf!",,0,0,verb;futur;noun;ich,0,,2026-05-18,2026-05-18
657275353,lässt,"…hat auch gesagt...“ Johann lässt sie nicht ausreden:„ Das…",,0,0,verb;präsens;noun;lassen;du;überlassen;vorlassen;durchlassen;freilassen;ablaßen;einlassen;ranlassen;loslassen;vorbeilassen;auslassen;heranlassen;herauflassen;weglassen;auflassen;anlassen;zurücklassen;herbeilassen;hereinlassen;zulassen;herunterlassen;nachlassen;ablassen;liegenlassen;unterlassen,3,,2026-05-18,2026-05-18
657276007,lass,"…als der Lehrer!“„ Johann!“„ Lass ihn nur“, sagt der…",,0,0,"verb;pronoun;lassen;du;adverb;imperativ präsens;überlassen;vorlassen;durchlassen;freilassen;ablaßen;einlassen;ranlassen;loslassen;vorbeilassen;auslassen;heranlassen;herauflassen;weglassen;auflassen;anlassen;zurücklassen;herbeilassen;hereinlassen;zulassen;herunterlassen;nachlassen;ablassen;liegenlassen;unterlassen",2,,2026-05-18,2026-05-18
657276162,recht,"…Er hat ja Recht.",,0,0,verb;präsens;noun;adverb;er/sie/es;rechen,3,,2026-05-18,2026-05-18
657276581,spricht,"…uns im Dorf.“ Er spricht nicht zu Ende.",,0,0,verb;präsens;noun;ansprechen;sprechen;adverb;er/sie/es;absprechen;widersprechen;heiligsprechen;nachsprechen;zusprechen;aussprechen;freisprechen,3,,2026-05-18,2026-05-18
657276597,ende,"…Er spricht nicht zu Ende.",,0,0,verb;präsens;noun;ich;adverb;enden;sanden,3,,2026-05-18,2026-05-18
657276693,wissen,"Sie wissen es ja alle.",,1,0,verb;präsens;noun;wir;adverb;vorauswissen,3,,2026-05-18,2026-05-18
657276709,alle,"Sie wissen es ja alle.",,3,0,pronoun;adjective,3,,2026-05-18,2026-05-18
658538008,jahrelang,"Ich habe auch jahrelang eine Arbeit gehabt, die…",,0,0,adjective;adverb,1,,2026-05-18,2026-05-18
658538116,kaputt,"Abends war ich kaputt, einfach müde, obwohl ich…",,1,0,adjective;adverb,1,,2026-05-18,2026-05-18
658538153,müde,"…war ich kaputt, einfach müde, obwohl ich nicht viel…",,1,0,noun;adjective,2,,2026-05-18,2026-05-18
658538236,obwohl,"…ich kaputt, einfach müde, obwohl ich nicht viel getan…",,0,0,noun;adverb,3,,2026-05-18,2026-05-18
658538289,getan,"…obwohl ich nicht viel getan habe.",,0,0,noun;adjective,3,,2026-05-18,2026-05-18
658538452,teamleiterin,"Jetzt bin ich Teamleiterin und komme abends spät…",,0,0,,0,,2026-05-18,2026-05-18
658538609,spät,"…Teamleiterin und komme abends spät nach Hause, aber Stress…",,0,0,adjective;adverb,2,,2026-05-18,2026-05-18
658538717,karriere,"…Hause, aber Stress und Karriere machen mich glücklich.",,1,0,noun;adjective,2,,2026-05-18,2026-05-18
658538744,glücklich,"…und Karriere machen mich glücklich.",,0,0,adjective;adverb,2,,2026-05-18,2026-05-18
658538754,mich,"…Stress und Karriere machen mich glücklich.",,1,0,pronoun;noun,3,,2026-05-18,2026-05-18
658538772,machen,"…aber Stress und Karriere machen mich glücklich.",,1,0,verb;präsens;noun;ausmachen;zumachen;wir;adverb;mitmachen;anmachen;zunichtemachen;wiedergutmachen;wettmachen;weitermachen;weismachen;wegmachen;vormachen;totmachen;schlechtmachen;saubermachen;nachmachen;krankmachen;klarmachen;zurückmachen;kaputtmachen;kaltmachen;freimachen;fertigmachen;einmachen;durchmachen;dichtmachen;blaumachen;aufmachen;kehrtmachen;abmachen,3,,2026-05-18,2026-05-18
658538860,stress,"…spät nach Hause, aber Stress und Karriere machen mich…",,0,0,noun,1,,2026-05-18,2026-05-18
658538869,abends,"…ich Teamleiterin und komme abends spät nach Hause, aber…",,3,0,noun;adverb,2,,2026-05-18,2026-05-18
658541111,übungen,"…B 1- S 182- ÜBUNGEN 1 a",,0,0,noun,1,,2026-05-18,2026-05-18
658541226,kollege,"Mein Kollege war heute ganz frustriert,…",,0,0,noun,1,,2026-05-18,2026-05-18
658541253,heute,"Mein Kollege war heute ganz frustriert, weil er…",,1,0,adjective;adverb,3,,2026-05-18,2026-05-18
658541314,frustriert,"…Kollege war heute ganz frustriert, weil er bei uns…",,0,0,verb;präsens;noun;adjective;er/sie/es;frustrieren,0,,2026-05-18,2026-05-18
658541430,helfer,"…der Papierfabrik nur als Helfer arbeitet.",,0,0,noun,1,,2026-05-18,2026-05-18
658541441,papierfabrik,"…bei uns in der Papierfabrik nur als Helfer arbeitet.",,0,0,,0,,2026-05-18,2026-05-18
658542774,studiert,"…Sri Lanka, wo er studiert hat und sein eigenes…",,0,0,verb;präsens;noun;er/sie/es;studieren,2,,2026-05-18,2026-05-18
658542832,eigenes,"…studiert hat und sein eigenes Geschäft als Optiker hatte.",,0,0,noun;adjective,2,,2026-05-18,2026-05-18
658542924,geschäft,"…hat und sein eigenes Geschäft als Optiker hatte.",,0,0,noun,2,,2026-05-18,2026-05-18
658543078,optiker,"…sein eigenes Geschäft als Optiker hatte.",,0,0,,0,,2026-05-18,2026-05-18
658544114,mögen,"Wir mögen ihn alle sehr, auch…",,0,0,verb;präsens;noun;wir;hinmögen,2,,2026-05-18,2026-05-18
658544193,chef,"…alle sehr, auch der Chef.",,1,0,noun,3,,2026-05-18,2026-05-18
658544296,wenig,"Und so wenig verdient er bei uns…",,0,0,adjective;adverb,3,,2026-05-18,2026-05-18
658544381,verdient,"Und so wenig verdient er bei uns auch…",,0,0,verb;präsens;adjective;adverb;er/sie/es;verdienen,2,,2026-05-18,2026-05-18
658545062,dazu,"Was meint Ihr dazu?",,3,0,adjective;adverb,3,,2026-05-18,2026-05-18
658545088,ihr,"Was meint Ihr dazu?",,1,0,pronoun;noun,3,,2026-05-18,2026-05-18
658545174,meint,"Was meint Ihr dazu?",,0,0,verb;präsens;noun;er/sie/es;meinen,2,,2026-05-18,2026-05-18
658545472,ähnlich,"Mir geht es ja ähnlich wie deinem Kollegen; ich…",,0,0,adjective;adverb,2,,2026-05-18,2026-05-18
658545537,deinem,"…es ja ähnlich wie deinem Kollegen; ich habe eine…",,0,0,pronoun;adjective,2,,2026-05-18,2026-05-18
658545560,kollegen,"…ja ähnlich wie deinem Kollegen; ich habe eine ganz…",,1,0,noun,2,,2026-05-18,2026-05-18
658545610,habe,"…wie deinem Kollegen; ich habe eine ganz andere Qualifikation!",,1,0,verb;präsens;haben;noun;ich;adverb;vorhaben;dahaben;liebhaben;anhaben,3,,2026-05-18,2026-05-18
658545625,eine,"…deinem Kollegen; ich habe eine ganz andere Qualifikation!",,1,0,verb;pronoun;präsens;noun;ich;einen,3,,2026-05-18,2026-05-18
658545660,ganz,"…Kollegen; ich habe eine ganz andere Qualifikation!",,1,0,adjective;adverb,3,,2026-05-18,2026-05-18
658545759,andere,"…ich habe eine ganz andere Qualifikation!",,2,0,pronoun;adjective,3,,2026-05-18,2026-05-18
658545805,qualifikation,"…habe eine ganz andere Qualifikation!",,0,0,noun,0,,2026-05-18,2026-05-18
658545971,eigentlich,"Ich bin eigentlich Flugbegleiterin.",,0,0,adjective;adverb,3,,2026-05-18,2026-05-18
658546038,flugbegleiterin,"Ich bin eigentlich Flugbegleiterin.",,0,0,noun,0,,2026-05-18,2026-05-18
658546301,kindern,"Aber jetzt mit den Kindern bin ich ganz froh,…",,1,0,noun,3,,2026-05-18,2026-05-18
658546417,froh,"…Kindern bin ich ganz froh, dass ich Teilzeit als…",,0,0,adjective;adverb,2,,2026-05-18,2026-05-18
658546518,teilzeit,"…ganz froh, dass ich Teilzeit als Verkäuferin arbeiten und…",,0,0,noun,0,,2026-05-18,2026-05-18
658546635,verkäuferin,"…dass ich Teilzeit als Verkäuferin arbeiten und mich nachmittags…",,0,0,noun,0,,2026-05-18,2026-05-18
658546675,arbeiten,"…ich Teilzeit als Verkäuferin arbeiten und mich nachmittags um…",,1,0,verb;präsens;noun;wir;zusammenarbeiten;aufarbeiten;herausarbeiten;schwarzarbeiten;einarbeiten;nacharbeiten;ausarbeiten;hinarbeiten;abarbeiten;umarbeiten,3,,2026-05-18,2026-05-18
658546760,nachmittags,"…Verkäuferin arbeiten und mich nachmittags um die Familie kümmern…",,0,0,noun;adverb,1,,2026-05-18,2026-05-18
