lesson_id,course_id,title,language,audio_url,words_count,unknown_count,source_local,first_seen,last_synced
41135933,2470569,"#341 Geschichte zum Lesen & Hören || Thema: Einsamkeit | Deutsch lernen durch Hören || C1 - C2",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/norm_audio_out_9ef80e18.8f97540196f5_1a2409f8.22e3d1f2e469.mp3,,117,,2026-05-24,2026-05-24
41140683,2470958,"#887 LISA - Deutsch lernen mit Geschichten [Deutsch lernen durch Hören] @DldH #dldh #learngerman",de,,,268,,2026-05-24,2026-05-24
41193539,2122932,"E-Book PrintPlus-Lizenz - 1 Jahr",de,,,117,,2026-05-24,2026-05-24
42573212,2583976,"Modelltest 4 - Hören - 1.1",de,,,29,,2026-05-24,2026-05-24
42736978,2596652,"Dinner Club: Germany S1:E1 Cyprus, Kurt Krömer",de,,,1179,,2026-05-24,2026-05-24
42737630,2122932,"Watch The Trail | Prime Video",de,,,40,,2026-05-24,2026-05-24
42737801,2596652,"Watch Perfekt Verpasst - Staffel 1 | Prime Video",de,,,245,,2026-05-24,2026-05-24
42738195,2596652,"Beat S1:E1 BEAT",de,,,1085,,2026-05-24,2026-05-24
42738245,2596652,"FC Bayern - Behind The Legend S1:E1 EPISODE 1",de,,,1123,,2026-05-24,2026-05-24
42738324,2596652,"Amazon.de: Perfekt Verpasst - Staffel 1 ansehen | Prime Video",de,,,212,,2026-05-24,2026-05-24
42738415,2143272,"Tomb Raider",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/tts_audio_42738415_ee05299d.171d5dad51e6.mp3,,1064,,2026-05-24,2026-05-24
44368960,2253839,Mimi,de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/1_7812df2a.fa685c261ca2.mp3,,1116,,2026-05-24,2026-05-24
44725978,2746438,"Hitzewelle in Deutschland: Höchsttemperaturen bis 40 Grad | TikTok",de,https://s3.amazonaws.com/media.lingq.com/resources/contents/audionorm/norm_audio_in_39622656.626b70b258fd_e28f20a3.e7a70ae90b1e.mp3,,164,,2026-05-24,2026-05-24
